Année,Numéro,Département,Code INSEE,Nom de la commune,Date de première alerte,Surface parcourue (m2),Surface forêt (m2),Surface maquis garrigues (m2),Autres surfaces naturelles hors forêt (m2),Surfaces agricoles (m2),Autres surfaces (m2),Surface autres terres boisées (m2),Surfaces non boisées naturelles (m2),Surfaces non boisées artificialisées (m2),Surfaces non boisées (m2),Précision des surfaces,Type de peuplement,Nature,Décès ou bâtiments touchés,Nombre de décès,Nombre de bâtiments totalement détruits,Nombre de bâtiments partiellement détruits,Précision de la donnée
2024,5,66,66043,Casteil,2024-01-01 12:02:00,2000,2000,0,0,0,0,,,,,Estimées,,Involontaire (particulier),Non,,,,
2024,27351,77,77186,Fontainebleau,2024-01-01 13:48:00,2,2,,0,0,0,,,,,Estimées,,Involontaire (particulier),Non,,,,
2024,20474,11,11322,Roquefort-des-Corbières,2024-01-01 20:42:00,100,10,90,0,0,0,,,,,Mesurées,1,,Non,,,,
2024,353,2B,2B029,Barbaggio,2024-01-03 11:36:00,1946500,0,1946500,0,0,0,,,,,Mesurées,1,Involontaire (travaux),Non,,,,
2024,122,2B,2B124,Ghisoni,2024-01-03 12:59:00,2000,0,2000,0,0,0,,,,,Estimées,,,Non,,,,
2024,124,2B,2B079,Castello-di-Rostino,2024-01-03 23:05:00,35000,0,35000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,127,2B,2B293,Sant'Andréa-di-Cotone,2024-01-04 13:51:00,10000,0,10000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,128,2B,2B356,Zalana,2024-01-04 14:48:00,500,0,500,0,0,0,,,,,Estimées,,,Non,,,,
2024,159,66,66042,Cassagnes,2024-01-08 14:12:00,20000,20000,0,0,0,0,,,,,Mesurées,,Accidentelle,Non,,,,
2024,355,48,48067,Gabriac,2024-01-08 17:33:00,5600,5600,0,0,0,0,,,,,Mesurées,5,,Non,,,,
2024,169,66,66116,Montferrer,2024-01-09 12:33:00,200,200,0,0,0,0,,,,,Estimées,,,Non,,,,
2024,20490,11,11098,Conilhac-Corbières,2024-01-09 16:56:00,17533,0,17533,0,0,0,,,,,Mesurées,1,,Non,,,,
2024,27082,64,64444,Pardies-Piétat,2024-01-14 12:57:00,3,3,,0,0,0,,,,,Estimées,,Involontaire (particulier),Non,0,0,0,
2024,146,2B,2B290,Speloncato,2024-01-15 11:04:00,150000,0,150000,0,0,0,,,,,Estimées,,,Non,,,,
2024,147,2B,2B242,Poggio-Mezzana,2024-01-17 15:25:00,3000,0,3000,0,0,0,,,,,Estimées,,,Non,,,,
2024,20504,11,11031,Belfort-sur-Rebenty,2024-01-18 12:31:00,600,600,0,0,0,0,,,,,Mesurées,,Involontaire (travaux),Non,,,,
2024,22475,88,88124,Darney,2024-01-18 17:57:00,10,10,,0,0,0,,,,,Estimées,,,Non,,,,
2024,143,34,34097,Félines-Minervois,2024-01-18 18:00:00,1632,0,1632,0,0,0,,,,,Mesurées,1,Malveillance,Non,,,,
2024,20095,56,56212,Saint-Dolay,2024-01-18 18:32:00,4,4,,0,0,0,,,,,Estimées,,,Non,,,,
2024,20507,11,11379,Sigean,2024-01-18 19:07:00,10,0,10,0,0,0,,,,,Mesurées,1,Accidentelle,Non,,,,
2024,149,2B,2B046,Cagnano,2024-01-19 05:14:00,300,0,300,0,0,0,,,,,Estimées,,,Non,,,,
2024,19130,13,13055,Marseille,2024-01-19 21:51:00,15,0,15,0,0,0,,,,,Estimées,1,,Non,,,,
2024,151,2B,2B286,Sorbo-Ocagnano,2024-01-20 18:33:00,1500,0,1500,0,0,0,,,,,Estimées,,,Non,,,,
2024,27354,77,77006,Arbonne-la-Forêt,2024-01-21 10:01:00,4,4,,0,0,0,,,,,Estimées,,Involontaire (particulier),Non,,,,
2024,205,66,66150,Prats-de-Mollo-la-Preste,2024-01-21 16:15:00,800,800,0,0,0,0,,,,,Mesurées,,,Non,,,,
2024,154,6,6049,Courmes,2024-01-22 11:48:00,41600,0,41600,0,0,0,,,,,Estimées,1,,Non,,,,
2024,217,2B,2B281,Sisco,2024-01-22 16:45:00,3000,0,3000,0,0,0,,,,,Estimées,,,Non,,,,
2024,28856,7,7025,Barnas,2024-01-22 17:57:00,127700,200,127500,0,0,0,,,,,Mesurées,5,,Non,,,,
2024,218,2B,2B307,Santa-Lucia-di-Moriani,2024-01-23 02:00:00,50000,0,50000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,255,34,34092,Cruzy,2024-01-23 18:39:00,3098,0,3098,0,0,0,,,,,Mesurées,1,Involontaire (travaux),Non,,,,
2024,20515,11,11401,Tuchan,2024-01-24 14:52:00,400,0,400,0,0,0,,,,,Mesurées,1,Involontaire (particulier),Non,,,,
2024,251,34,34079,Clermont-l'Hérault,2024-01-25 18:18:00,17,0,17,0,0,0,,,,,Mesurées,1,Malveillance,Non,,,,
2024,20523,11,11386,Talairan,2024-01-26 15:43:00,11938,0,11438,0,500,0,,,,,Mesurées,1,,Non,,,,
2024,226,2B,2B340,Velone-Orneto,2024-01-26 18:15:00,100,0,100,0,0,0,,,,,Estimées,,,Non,,,,
2024,239,34,34113,Gigean,2024-01-27 10:01:00,5,5,0,0,0,0,,,,,Estimées,2,Malveillance,Non,,,,
2024,19302,13,13047,Istres,2024-01-27 16:10:00,500,500,0,0,0,0,,,,,Estimées,1,Involontaire (particulier),Non,,,,
2024,18934,30,30189,Nîmes,2024-01-27 18:52:00,107,107,0,0,0,0,,,,,Mesurées,,,Non,,,,
2024,29629,25,25318,Jougne,2024-01-27 19:46:36,100,100,,0,0,0,,,,,Estimées,,,Non,0,0,0,
2024,28854,7,7179,Pourchères,2024-01-28 12:30:00,90000,0,90000,0,0,0,,,,,Mesurées,5,Involontaire (travaux),Non,,,,
2024,214,15,15113,Mandailles-Saint-Julien,2024-01-28 13:33:00,2,2,,0,0,0,,,,,Estimées,,Involontaire (travaux),Non,,,,
2024,18935,30,30339,Val-d'Aigoual,2024-01-28 16:10:00,2000,2000,0,0,0,0,,,,,Mesurées,,,Non,,,,
2024,271,5,5126,Rosans,2024-01-29 13:59:00,8100,2700,0,4800,0,600,,,,,Mesurées,5,Involontaire (particulier),Non,,,,
2024,19032,48,48105,Naussac-Fontanes,2024-01-29 14:00:00,1200,1100,0,100,0,0,,,,,Mesurées,4,,,,,,Données partielles ou non valides
2024,26994,40,40184,Mimizan,2024-01-29 15:19:00,1,1,,0,0,0,,,,,Estimées,,Involontaire (particulier),Non,0,0,0,
2024,402,74,74192,Moye,2024-01-29 18:16:00,200,200,,0,0,0,,,,,Estimées,,Involontaire (travaux),Non,,,,
2024,229,2B,2B356,Zalana,2024-01-30 11:12:00,10000,0,10000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,358,6,6135,Sigale,2024-01-30 13:32:00,2000,0,2000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,19532,34,34335,Villemagne-l'Argentière,2024-01-30 14:50:00,2252,0,2252,0,0,0,,,,,Mesurées,1,Involontaire (particulier),Non,,,,
2024,22939,2A,2A130,Grosseto-Prugna,2024-01-30 18:53:00,50,0,50,0,0,0,,,,,Estimées,,,Non,,,,
2024,19191,29,29206,Plounévez-Lochrist,2024-01-30 19:04:00,20,20,,0,0,0,,,,,Estimées,,,Non,,,,
2024,22940,2A,2A247,Porto-Vecchio,2024-01-31 11:08:00,3000,0,3000,0,0,0,,,,,Estimées,,,Non,,,,
2024,268,2B,2B235,Pioggiola,2024-01-31 12:15:00,300,0,300,0,0,0,,,,,Estimées,,,Non,,,,
2024,26996,40,40281,Saint-Pierre-du-Mont,2024-01-31 17:35:00,3,1,,0,0,2,,,,,Estimées,,,Non,0,0,0,
2024,27088,64,64396,Mont,2024-01-31 19:05:00,2,2,,0,0,0,,,,,Estimées,,,Non,0,0,0,
2024,338,2B,2B176,Nocario,2024-02-01 11:11:00,5000,0,5000,0,0,0,,,,,Estimées,1,,Non,,,,
2024,282,5,5024,Valdoule,2024-02-02 12:50:00,4000,4000,0,0,0,0,,,,,Mesurées,5,Involontaire (travaux),Non,,,,
2024,359,6,6050,Coursegoules,2024-02-02 13:45:00,800,0,800,0,0,0,,,,,Estimées,,,Non,,,,
2024,19303,13,13091,Saint-Cannat,2024-02-02 14:36:00,10,10,0,0,0,0,,,,,Estimées,1,Malveillance,Non,,,,
